JayID,Jays.USFWBand,Sex,AgeKnown,NatalNest,FBreeder,Jays_1.USFWBand,MBreeder,Jays_2.USFWBand,HatchDate,MeasDate,Expr1,LastObsDate,FldgDate
AL-C,1513-50307,M,Y,WCPR991,OZF-U,1453-78207,-AWZ,1453-38937,4/19/1999,4/30/1999,11,6/14/2001,5/7/1999
-LnC,1513-50764,M,Y,ELIN004,O-LM,1453-78223,-PZL,1453-78321,5/13/2000,5/24/2000,11,6/14/2004,6/1/2000
-FnC,1513-50765,M,Y,ELIN004,O-LM,1453-78223,-PZL,1453-78321,5/13/2000,5/24/2000,11,6/14/2004,6/1/2000
-AnC,1513-50766,F,Y,ELIN004,O-LM,1453-78223,-PZL,1453-78321,5/13/2000,5/24/2000,11,6/14/2004,6/1/2000
YA-C,1513-50317,M,Y,ELIN992,O-LM,1453-78223,-PZL,1453-78321,5/2/1999,5/13/1999,11,6/14/2004,5/19/1999
BA-C,1513-50318,M,Y,ELIN992,O-LM,1453-78223,-PZL,1453-78321,5/2/1999,5/13/1999,11,6/14/2004,5/19/1999
-ZFR,1043-90533,F,Y,ELIN981,O-LM,1453-78223,-SWA,1053-14420,5/5/1998,5/16/1998,11,6/14/2004,5/23/1998
-ZAR,1043-90534,,Y,ELIN981,O-LM,1453-78223,-SWA,1053-14420,5/5/1998,5/16/1998,11,6/14/2004,5/23/1998
ZWn-,1163-68224,,Y,ELIN973,O-LM,1453-78223,-SWA,1053-14420,5/22/1997,6/2/1997,11,6/14/2004,6/5/1997
ZRn-,1163-68225,,Y,ELIN973,O-LM,1453-78223,-SWA,1053-14420,5/22/1997,6/2/1997,11,6/14/2004,6/5/1997
ZGn-,1163-68226,,Y,ELIN973,O-LM,1453-78223,-SWA,1053-14420,5/22/1997,6/2/1997,11,6/14/2004,6/5/1997
ZYn-,1163-68227,,Y,ELIN973,O-LM,1453-78223,-SWA,1053-14420,5/22/1997,6/2/1997,11,6/14/2004,6/5/1997
CB-n,1573-66565,M,Y,BIGL042,O-LM,1453-78223,Z-OG,1453-63524,5/28/2004,6/8/2004,11,6/14/2004,6/15/2004
CL-O,1573-66566,F,Y,BIGL042,O-LM,1453-78223,Z-OG,1453-63524,5/28/2004,6/8/2004,11,6/14/2004,6/15/2004
CW-n,1573-65936,M,Y,BIGL041,O-LM,1453-78223,Z-OG,1453-63524,4/5/2004,4/16/2004,11,6/14/2004,4/21/2004
CR-n,1573-65937,M,Y,BIGL041,O-LM,1453-78223,Z-OG,1453-63524,4/5/2004,4/16/2004,11,6/14/2004,4/21/2004
CG-n,1573-65938,M,Y,BIGL041,O-LM,1453-78223,Z-OG,1453-63524,4/5/2004,4/16/2004,11,6/14/2004,4/21/2004
CH-n,1573-65939,F,Y,BIGL041,O-LM,1453-78223,Z-OG,1453-63524,4/5/2004,4/16/2004,11,6/14/2004,4/21/2004
C-Yn,1063-43583,M,Y,BIGL033,O-LM,1453-78223,Z-OG,1453-63524,5/22/2003,6/2/2003,11,6/14/2004,6/10/2003
C-BW,1063-43584,M,Y,BIGL033,O-LM,1453-78223,Z-OG,1453-63524,5/22/2003,6/2/2003,11,6/14/2004,6/10/2003
C-PW,1063-43585,M,Y,BIGL033,O-LM,1453-78223,Z-OG,1453-63524,5/22/2003,6/2/2003,11,6/14/2004,6/10/2003
OC-R,1713-89758,M,Y,NATR021,O-LM,1453-78223,Z-OG,1453-63524,4/4/2002,4/15/2002,11,6/14/2004,4/22/2002
LC-R,1063-42834,F,Y,NATR021,O-LM,1453-78223,Z-OG,1453-63524,4/4/2002,4/15/2002,11,6/14/2004,4/22/2002
FC-R,1063-42835,F,Y,NATR021,O-LM,1453-78223,Z-OG,1453-63524,4/4/2002,4/15/2002,11,6/14/2004,4/22/2002
AC-n,1063-42836,F,Y,NATR021,O-LM,1453-78223,Z-OG,1453-63524,4/4/2002,4/15/2002,11,6/14/2004,4/22/2002
ZYW-,1043-44214,,Y,NMIT971,LZB-,1453-78233,Z-GP,1453-63559,3/29/1997,4/9/1997,11,10/11/1997,4/18/1997
ZBW-,1043-44215,M,Y,NMIT971,LZB-,1453-78233,Z-GP,1453-63559,3/29/1997,4/9/1997,11,10/11/1997,4/18/1997
ZYn-,1043-44274,,Y,WCPR971,L-BM,1453-78235,-AWZ,1453-38937,4/12/1997,4/23/1997,11,2/18/1998,5/1/1997
ZBL-,1043-44275,,Y,WCPR971,L-BM,1453-78235,-AWZ,1453-38937,4/12/1997,4/23/1997,11,2/18/1998,5/1/1997
ZPn-,1043-44276,,Y,WCPR971,L-BM,1453-78235,-AWZ,1453-38937,4/12/1997,4/23/1997,11,2/18/1998,5/1/1997
LC-n,1063-42837,M,Y,SFLS022,L-OM,1453-78248,RA-C,1513-50315,4/4/2002,4/15/2002,11,4/11/2003,4/21/2002
AC-R,1063-42838,F,Y,SFLS022,L-OM,1453-78248,RA-C,1513-50315,4/4/2002,4/15/2002,11,4/11/2003,4/21/2002
FC-n,1063-42839,M,Y,SFLS022,L-OM,1453-78248,RA-C,1513-50315,4/4/2002,4/15/2002,11,4/11/2003,4/21/2002
WGC-,1513-50921,F,Y,SFLS011,L-OM,1453-78248,ZP-Y,1453-72784,4/12/2001,4/23/2001,11,4/11/2003,4/28/2001
RGC-,1513-50922,M,Y,SFLS011,L-OM,1453-78248,ZP-Y,1453-72784,4/12/2001,4/23/2001,11,4/11/2003,4/28/2001
ZAW-,1043-44248,F,Y,SFLS971,L-OM,1453-78248,ZP-Y,1453-72784,4/8/1997,4/19/1997,11,4/11/2003,4/27/1997
ZFn-,1043-44249,,Y,SFLS971,L-OM,1453-78248,ZP-Y,1453-72784,4/8/1997,4/19/1997,11,4/11/2003,4/27/1997
Znn-,1043-44250,,Y,SFLS971,L-OM,1453-78248,ZP-Y,1453-72784,4/8/1997,4/19/1997,11,4/11/2003,4/27/1997
BL-C,1513-50192,F,Y,SFLS993,L-OM,1453-78248,ZP-Y,1453-72784,4/15/1999,4/26/1999,11,4/11/2003,5/4/1999
PL-C,1603-17448,F,Y,SFLS993,L-OM,1453-78248,ZP-Y,1453-72784,4/15/1999,4/26/1999,11,4/11/2003,5/4/1999
OL-C,1513-50194,F,Y,SFLS993,L-OM,1453-78248,ZP-Y,1453-72784,4/15/1999,4/26/1999,11,4/11/2003,5/4/1999
Ln-C,1513-50195,F,Y,SFLS993,L-OM,1453-78248,ZP-Y,1453-72784,4/15/1999,4/26/1999,11,4/11/2003,5/4/1999
C-Wn,1063-43513,F,Y,SFLS031,L-OM,1453-78248,RA-C,1513-50315,4/6/2003,4/17/2003,11,4/11/2003,4/23/2003
C-RW,1063-43514,F,Y,SFLS031,L-OM,1453-78248,RA-C,1513-50315,4/6/2003,4/17/2003,11,4/11/2003,4/23/2003
C-Gn,1063-43515,F,Y,SFLS031,L-OM,1453-78248,RA-C,1513-50315,4/6/2003,4/17/2003,11,4/11/2003,4/23/2003
-YZn,1453-78341,,Y,CRAN961,L-LM,1453-78249,ZO-R,1453-72734,4/26/1996,5/7/1996,11,3/10/1997,5/14/1996
-BZF,1453-78342,,Y,CRAN961,L-LM,1453-78249,ZO-R,1453-72734,4/26/1996,5/7/1996,11,3/10/1997,5/14/1996
-PZn,1453-78343,,Y,CRAN961,L-LM,1453-78249,ZO-R,1453-72734,4/26/1996,5/7/1996,11,3/10/1997,5/14/1996
GnC-,1513-50902,F,Y,SWSE011,L-FM,1453-78250,ZL-O,1453-78068,3/29/2001,4/9/2001,11,6/14/2001,4/17/2001
YWC-,1513-50903,M,Y,SWSE011,L-FM,1453-78250,ZL-O,1453-78068,3/29/2001,4/9/2001,11,6/14/2001,4/17/2001
BWC-,1513-50904,M,Y,SWSE011,L-FM,1453-78250,ZL-O,1453-78068,3/29/2001,4/9/2001,11,6/14/2001,4/17/2001
Wn-C,1513-50314,F,Y,SWSE994,L-FM,1453-78250,ZL-O,1453-78068,5/2/1999,5/13/1999,11,6/14/2001,5/19/1999
RA-C,1513-50315,M,Y,SWSE994,L-FM,1453-78250,ZL-O,1453-78068,5/2/1999,5/13/1999,11,6/14/2001,5/19/1999
GA-C,1513-50316,M,Y,SWSE994,L-FM,1453-78250,ZL-O,1453-78068,5/2/1999,5/13/1999,11,6/14/2001,5/19/1999
ZWn-,1043-44251,,Y,PRAN971,L-AM,1453-78251,Z-AP,1453-63561,4/8/1997,4/19/1997,11,4/14/1998,4/27/1997
ZRn-,1043-44252,,Y,PRAN971,L-AM,1453-78251,Z-AP,1453-63561,4/8/1997,4/19/1997,11,4/14/1998,4/27/1997
ZGW-,1043-44253,M,Y,PRAN971,L-AM,1453-78251,Z-AP,1453-63561,4/8/1997,4/19/1997,11,4/14/1998,4/27/1997
-ZOn,1163-68286,,Y,N18E981,F-WM,1453-78255,ZL-R,1453-72735,4/16/1998,4/27/1998,11,8/16/2007,5/3/1998
-ZLW,1163-68287,F,Y,N18E981,F-WM,1453-78255,ZL-R,1453-72735,4/16/1998,4/27/1998,11,8/16/2007,5/3/1998
-ZFn,1163-68288,,Y,N18E981,F-WM,1453-78255,ZL-R,1453-72735,4/16/1998,4/27/1998,11,8/16/2007,5/3/1998
-ZAn,1163-68289,,Y,N18E981,F-WM,1453-78255,ZL-R,1453-72735,4/16/1998,4/27/1998,11,8/16/2007,5/3/1998
RCG-,1573-97905,F,Y,N18E052,F-WM,1453-78255,YC-P,1063-42896,4/10/2005,4/21/2005,11,8/16/2007,5/1/2005
GCG-,1713-49397,M,Y,N18E052,F-WM,1453-78255,YC-P,1063-42896,4/10/2005,4/21/2005,11,8/16/2007,5/1/2005
HCn-,1573-97907,M,Y,N18E052,F-WM,1453-78255,YC-P,1063-42896,4/10/2005,4/21/2005,11,8/16/2007,5/1/2005
OC-G,1063-42844,F,Y,N18E022,F-WM,1453-78255,ZL-R,1453-72735,4/5/2002,4/16/2002,11,8/16/2007,4/19/2002
-OCn,1603-17219,M,Y,N18E062,F-WM,1453-78255,YC-P,1063-42896,4/14/2006,4/25/2006,11,8/16/2007,4/30/2006
CW-R,1573-66551,F,Y,N18E042,F-WM,1453-78255,YC-P,1063-42896,5/20/2004,5/31/2004,11,8/16/2007,6/7/2004
CR-n,1573-66552,F,Y,N18E042,F-WM,1453-78255,YC-P,1063-42896,5/20/2004,5/31/2004,11,8/16/2007,6/7/2004
CG-n,1573-66553,F,Y,N18E042,F-WM,1453-78255,YC-P,1063-42896,5/20/2004,5/31/2004,11,8/16/2007,6/7/2004
CH-n,1573-66554,M,Y,N18E042,F-WM,1453-78255,YC-P,1063-42896,5/20/2004,5/31/2004,11,8/16/2007,6/7/2004
WPC-,1513-50996,M,Y,N18E016,F-WM,1453-78255,ZL-R,1453-72735,5/23/2001,6/3/2001,11,8/16/2007,6/11/2001
RPC-,1513-50997,M,Y,N18E016,F-WM,1453-78255,ZL-R,1453-72735,5/23/2001,6/3/2001,11,8/16/2007,6/11/2001
GnC-,1513-50998,F,Y,N18E016,F-WM,1453-78255,ZL-R,1453-72735,5/23/2001,6/3/2001,11,8/16/2007,6/11/2001
Wn-C,1513-50339,M,Y,HARY993,-YZR,1453-78266,ARZ=,1453-39040,5/26/1999,6/6/1999,11,1/13/2000,6/11/1999
Rn-C,1513-50340,M,Y,HARY993,-YZR,1453-78266,ARZ=,1453-39040,5/26/1999,6/6/1999,11,1/13/2000,6/11/1999
LC-L,1063-43125,F,Y,ELIN021,-LZR,1453-78270,-GGC,1513-50706,4/27/2002,5/8/2002,11,3/13/2007,5/13/2002
FC-n,1063-43126,F,Y,ELIN021,-LZR,1453-78270,-GGC,1513-50706,4/27/2002,5/8/2002,11,3/13/2007,5/13/2002
CW-n,1573-65998,M,Y,ELIN041,-LZR,1453-78270,-GGC,1513-50706,4/13/2004,4/24/2004,11,3/13/2007,5/1/2004
CR-n,1573-65999,M,Y,ELIN041,-LZR,1453-78270,-GGC,1513-50706,4/13/2004,4/24/2004,11,3/13/2007,5/1/2004
CG-n,1573-66000,M,Y,ELIN041,-LZR,1453-78270,-GGC,1513-50706,4/13/2004,4/24/2004,11,3/13/2007,5/1/2004
CH-n,1573-66501,F,Y,ELIN041,-LZR,1453-78270,-GGC,1513-50706,4/13/2004,4/24/2004,11,3/13/2007,5/1/2004
C-Yn,1063-43579,M,Y,ELIN032,-LZR,1453-78270,-GGC,1513-50706,5/15/2003,5/26/2003,11,3/13/2007,6/1/2003
C-BO,1063-43580,F,Y,ELIN032,-LZR,1453-78270,-GGC,1513-50706,5/15/2003,5/26/2003,11,3/13/2007,6/1/2003
C-Pn,1063-43581,M,Y,ELIN032,-LZR,1453-78270,-GGC,1513-50706,5/15/2003,5/26/2003,11,3/13/2007,6/1/2003
-BFC,1513-50779,F,Y,MIDR004,-LZR,1453-78270,U-YZF,1513-02459,5/23/2000,6/3/2000,11,3/13/2007,6/9/2000
-PnC,1513-50780,M,Y,MIDR004,-LZR,1453-78270,U-YZF,1513-02459,5/23/2000,6/3/2000,11,3/13/2007,6/9/2000
-OfHC,1513-50781,F,Y,MIDR004,-LZR,1453-78270,U-YZF,1513-02459,5/23/2000,6/3/2000,11,3/13/2007,6/9/2000
FR-C,1513-50328,F,Y,MIDR993,-LZR,1453-78270,U-YZF,1513-02459,5/8/1999,5/19/1999,11,3/13/2007,5/24/1999
WCH=,1713-89767,M,Y,WLIN051,-LZR,1453-78270,WC-PU,1063-43034,4/27/2005,5/8/2005,11,3/13/2007,5/15/2005
RCF-,1573-97991,F,Y,WLIN051,-LZR,1453-78270,WC-PU,1063-43034,4/27/2005,5/8/2005,11,3/13/2007,5/15/2005
GCn-,1573-97992,M,Y,WLIN051,-LZR,1453-78270,WC-PU,1063-43034,4/27/2005,5/8/2005,11,3/13/2007,5/15/2005
-ACn,1603-17264,M,Y,WLIN062,-LZR,1453-78270,WC-PU,1063-43034,4/24/2006,5/5/2006,11,3/13/2007,5/10/2006
WBC-,1513-50931,M,Y,MERL011,-FZG,1453-78280,-RZY,1453-78370,4/15/2001,4/26/2001,11,11/14/2006,5/2/2001
RBC-,1513-50932,M,Y,MERL011,-FZG,1453-78280,-RZY,1453-78370,4/15/2001,4/26/2001,11,11/14/2006,5/2/2001
GnC-,1513-50933,M,Y,MERL011,-FZG,1453-78280,-RZY,1453-78370,4/15/2001,4/26/2001,11,11/14/2006,5/2/2001
AC-W,1063-42880,M,Y,MERL021,-FZG,1453-78280,-OWC,1513-50391,4/9/2002,4/20/2002,11,11/14/2006,4/25/2002
WCn-,1573-97936,F,Y,MERL051,-FZG,1453-78280,-OWC,1513-50391,4/14/2005,4/25/2005,11,11/14/2006,5/1/2005
RCL-,1573-97937,F,Y,MERL051,-FZG,1453-78280,-OWC,1513-50391,4/14/2005,4/25/2005,11,11/14/2006,5/1/2005
GCL-,1573-97938,F,Y,MERL051,-FZG,1453-78280,-OWC,1513-50391,4/14/2005,4/25/2005,11,11/14/2006,5/1/2005
HCL-,1573-97939,F,Y,MERL051,-FZG,1453-78280,-OWC,1513-50391,4/14/2005,4/25/2005,11,11/14/2006,5/1/2005
-WAC,1513-50712,F,Y,MERL001,-FZG,1453-78280,-RZY,1453-78370,4/9/2000,4/20/2000,11,11/14/2006,4/28/2000
-RAC,1513-50713,F,Y,MERL001,-FZG,1453-78280,-RZY,1453-78370,4/9/2000,4/20/2000,11,11/14/2006,4/28/2000
-GnC,1513-50714,F,Y,MERL001,-FZG,1453-78280,-RZY,1453-78370,4/9/2000,4/20/2000,11,11/14/2006,4/28/2000
-YAC,1513-50715,M,Y,MERL001,-FZG,1453-78280,-RZY,1453-78370,4/9/2000,4/20/2000,11,11/14/2006,4/28/2000
CA-R,1573-66548,M,Y,MERL043,-FZG,1453-78280,-OWC,1513-50391,5/19/2004,5/30/2004,11,11/14/2006,6/7/2004
CG-n,1573-66549,M,Y,MERL043,-FZG,1453-78280,-OWC,1513-50391,5/19/2004,5/30/2004,11,11/14/2006,6/7/2004
C-WA,1063-43553,M,Y,MERL031,-FZG,1453-78280,-OWC,1513-50391,4/18/2003,4/29/2003,11,11/14/2006,5/4/2003
C-Rn,1063-43554,F,Y,MERL031,-FZG,1453-78280,-OWC,1513-50391,4/18/2003,4/29/2003,11,11/14/2006,5/4/2003
-WCn,1603-17411,M,Y,MERL063,-FZG,1453-78280,CfH=L,1713-49396,5/8/2006,5/19/2006,11,11/14/2006,5/27/2006
-RCn,1603-17412,F,Y,MERL063,-FZG,1453-78280,CfH=L,1713-49396,5/8/2006,5/19/2006,11,11/14/2006,5/27/2006
Pn-C,1513-50173,M,Y,LINS991,-PZY,1453-78286,G-YM,1163-68254,4/9/1999,4/20/1999,11,6/15/1999,4/26/1999
On-C,1513-50174,M,Y,LINS991,-PZY,1453-78286,G-YM,1163-68254,4/9/1999,4/20/1999,11,6/15/1999,4/26/1999
-WGC,1513-50704,F,Y,BIGL001,-LZB,1453-78296,Z-OG,1453-63524,4/8/2000,4/19/2000,11,7/12/2001,4/28/2000
-RnC,1513-50705,F,Y,BIGL001,-LZB,1453-78296,Z-OG,1453-63524,4/8/2000,4/19/2000,11,7/12/2001,4/28/2000
-GGC,1513-50706,M,Y,BIGL001,-LZB,1453-78296,Z-OG,1453-63524,4/8/2000,4/19/2000,11,7/12/2001,4/28/2000
-YnC,1513-50707,M,Y,BIGL001,-LZB,1453-78296,Z-OG,1453-63524,4/8/2000,4/19/2000,11,7/12/2001,4/28/2000
-YnC,1513-50738,M,Y,SCOB002,-WZB,1453-78298,Z-GY,1453-63530,4/18/2000,4/29/2000,11,5/10/2000,5/6/2000
-BBC,1513-50739,M,Y,SCOB002,-WZB,1453-78298,Z-GY,1453-63530,4/18/2000,4/29/2000,11,5/10/2000,5/6/2000
-PBC,1513-50740,F,Y,SCOB002,-WZB,1453-78298,Z-GY,1453-63530,4/18/2000,4/29/2000,11,5/10/2000,5/6/2000
-ZFG,1043-90518,M,Y,WAHO981,-WZB,1453-78298,WZW-,1453-78122,5/1/1998,5/12/1998,11,5/10/2000,5/18/1998
-ZAn,1043-90519,,Y,WAHO981,-WZB,1453-78298,WZW-,1453-78122,5/1/1998,5/12/1998,11,5/10/2000,5/18/1998
YP-C,1513-50302,M,Y,CTRN993,-OZP,1453-78304,U-WZB,1513-02430,4/18/1999,4/29/1999,11,7/19/2007,5/8/1999
BP-C,1513-50303,M,Y,CTRN993,-OZP,1453-78304,U-WZB,1513-02430,4/18/1999,4/29/1999,11,7/19/2007,5/8/1999
PP-C,1513-50304,F,Y,CTRN993,-OZP,1453-78304,U-WZB,1513-02430,4/18/1999,4/29/1999,11,7/19/2007,5/8/1999
On-C,1513-50305,F,Y,CTRN993,-OZP,1453-78304,U-WZB,1513-02430,4/18/1999,4/29/1999,11,7/19/2007,5/8/1999
HCR-,1573-66594,F,Y,CTRN051,-OZP,1453-78304,-PZB,1063-43189,4/6/2005,4/17/2005,11,7/19/2007,4/22/2005
BCR-,1573-66595,F,Y,CTRN051,-OZP,1453-78304,-PZB,1063-43189,4/6/2005,4/17/2005,11,7/19/2007,4/22/2005
PCR-,1573-66596,M,Y,CTRN051,-OZP,1453-78304,-PZB,1063-43189,4/6/2005,4/17/2005,11,7/19/2007,4/22/2005
WC-Y,1063-43173,F,Y,CTRN026,-OZP,1453-78304,-PZB,1063-43189,5/16/2002,5/27/2002,11,7/19/2007,6/1/2002
RC-Y,1063-43174,M,Y,CTRN026,-OZP,1453-78304,-PZB,1063-43189,5/16/2002,5/27/2002,11,7/19/2007,6/1/2002
GC-Y,1063-43175,M,Y,CTRN026,-OZP,1453-78304,-PZB,1063-43189,5/16/2002,5/27/2002,11,7/19/2007,6/1/2002
WnC-,1513-50987,M,Y,CTRN013,-OZP,1453-78304,-PZB,1063-43189,5/10/2001,5/21/2001,11,7/19/2007,5/26/2001
RnC-,1513-50988,M,Y,CTRN013,-OZP,1453-78304,-PZB,1063-43189,5/10/2001,5/21/2001,11,7/19/2007,5/26/2001
GWC-,1513-50989,M,Y,CTRN013,-OZP,1453-78304,-PZB,1063-43189,5/10/2001,5/21/2001,11,7/19/2007,5/26/2001
-WBC,1513-50735,F,Y,CTRN003,-OZP,1453-78304,U-WZB,1513-02430,4/18/2000,4/29/2000,11,7/19/2007,5/6/2000
-RnC,1513-50736,F,Y,CTRN003,-OZP,1453-78304,U-WZB,1513-02430,4/18/2000,4/29/2000,11,7/19/2007,5/6/2000
-GnC,1513-50737,F,Y,CTRN003,-OZP,1453-78304,U-WZB,1513-02430,4/18/2000,4/29/2000,11,7/19/2007,5/6/2000
-HCL,1603-17405,F,Y,SFRR062,-OZP,1453-78304,-LYC,1513-50732,5/7/2006,5/18/2006,11,7/19/2007,5/24/2006
-BCL,1603-17406,F,Y,SFRR062,-OZP,1453-78304,-LYC,1513-50732,5/7/2006,5/18/2006,11,7/19/2007,5/24/2006
CBn-,1603-17463,M,Y,SFRR071,-OZP,1453-78304,-LYC,1513-50732,4/8/2007,4/19/2007,11,7/19/2007,4/25/2007
CPW-,1603-17464,M,Y,SFRR071,-OZP,1453-78304,-LYC,1513-50732,4/8/2007,4/19/2007,11,7/19/2007,4/25/2007
COn-,1603-17465,M,Y,SFRR071,-OZP,1453-78304,-LYC,1513-50732,4/8/2007,4/19/2007,11,7/19/2007,4/25/2007
PY-C,1713-49018,M,Y,LOPZ991,-LZP,1453-78305,Z-WR,1453-63509,4/1/1999,4/12/1999,11,6/13/2002,4/19/1999
OY-C,1513-50143,M,Y,LOPZ991,-LZP,1453-78305,Z-WR,1453-63509,4/1/1999,4/12/1999,11,6/13/2002,4/19/1999
LY-C,1513-50144,F,Y,LOPZ991,-LZP,1453-78305,Z-WR,1453-63509,4/1/1999,4/12/1999,11,6/13/2002,4/19/1999
-WWC,1513-50716,F,Y,LOPZ002,-LZP,1453-78305,Z-WR,1453-63509,4/10/2000,4/21/2000,11,6/13/2002,4/27/2000
-RWC,1513-50717,M,Y,LOPZ002,-LZP,1453-78305,Z-WR,1453-63509,4/10/2000,4/21/2000,11,6/13/2002,4/27/2000
-GWC,1513-50718,F,Y,LOPZ002,-LZP,1453-78305,Z-WR,1453-63509,4/10/2000,4/21/2000,11,6/13/2002,4/27/2000
-YnC,1513-50719,F,Y,LOPZ002,-LZP,1453-78305,Z-WR,1453-63509,4/10/2000,4/21/2000,11,6/13/2002,4/27/2000
-ZWn,1043-90523,,Y,LOPZ981,-LZP,1453-78305,Z-WR,1453-63509,5/3/1998,5/14/1998,11,6/13/2002,5/20/1998
-ZRB,1043-90524,F,Y,LOPZ981,-LZP,1453-78305,Z-WR,1453-63509,5/3/1998,5/14/1998,11,6/13/2002,5/20/1998
-ZGn,1043-90525,,Y,LOPZ981,-LZP,1453-78305,Z-WR,1453-63509,5/3/1998,5/14/1998,11,6/13/2002,5/20/1998
-ZYB,1043-90526,F,Y,LOPZ981,-LZP,1453-78305,Z-WR,1453-63509,5/3/1998,5/14/1998,11,6/13/2002,5/20/1998
Rn-C,1513-50158,F,Y,MCBY991,-OZL,1453-78322,-OZY,1453-78287,4/6/1999,4/17/1999,11,3/14/2005,4/24/1999
GR-C,1513-50159,F,Y,MCBY991,-OZL,1453-78322,-OZY,1453-78287,4/6/1999,4/17/1999,11,3/14/2005,4/24/1999
CH-n,1573-65982,M,Y,MCBY041,-OZL,1453-78322,L-QL,1063-48612,4/10/2004,4/21/2004,11,3/14/2005,4/28/2004
CB-L,1573-65983,F,Y,MCBY041,-OZL,1453-78322,L-QL,1063-48612,4/10/2004,4/21/2004,11,3/14/2005,4/28/2004
CP-L,1573-65984,F,Y,MCBY041,-OZL,1453-78322,L-QL,1063-48612,4/10/2004,4/21/2004,11,3/14/2005,4/28/2004
BC-n,1063-42870,F,Y,MCBY021,-OZL,1453-78322,-OZY,1453-78287,4/7/2002,4/18/2002,11,3/14/2005,4/26/2002
PC-Y,1713-13337,M,Y,MCBY021,-OZL,1453-78322,-OZY,1453-78287,4/7/2002,4/18/2002,11,3/14/2005,4/26/2002
C-BB,1063-43557,F,Y,MCBY032,-OZL,1453-78322,L-QL,1063-48612,4/20/2003,5/1/2003,11,3/14/2005,5/6/2003
C-Pn,1063-43558,M,Y,MCBY032,-OZL,1453-78322,L-QL,1063-48612,4/20/2003,5/1/2003,11,3/14/2005,5/6/2003
C-On,1063-43559,M,Y,MCBY032,-OZL,1453-78322,L-QL,1063-48612,4/20/2003,5/1/2003,11,3/14/2005,5/6/2003
WC-L,1063-43135,M,Y,NWES022,-RZW,1453-78349,-BZL,1063-43188,5/5/2002,5/16/2002,11,9/10/2002,5/24/2002
RC-L,1063-43136,M,Y,NWES022,-RZW,1453-78349,-BZL,1063-43188,5/5/2002,5/16/2002,11,9/10/2002,5/24/2002
GC-n,1063-43137,F,Y,NWES022,-RZW,1453-78349,-BZL,1063-43188,5/5/2002,5/16/2002,11,9/10/2002,5/24/2002
LnC-,1513-50977,M,Y,NWES011,-RZW,1453-78349,-BZL,1063-43188,5/7/2001,5/18/2001,11,9/10/2002,5/25/2001
FnC-,1513-50978,F,Y,NWES011,-RZW,1453-78349,-BZL,1063-43188,5/7/2001,5/18/2001,11,9/10/2002,5/25/2001
AnC-,1513-50979,F,Y,NWES011,-RZW,1453-78349,-BZL,1063-43188,5/7/2001,5/18/2001,11,9/10/2002,5/25/2001
Ln-C,1513-50151,M,Y,NWES991,-RZW,1453-78349,-LZG,1453-78279,4/3/1999,4/14/1999,11,9/10/2002,4/18/1999
Fn-C,1513-50152,F,Y,NWES991,-RZW,1453-78349,-LZG,1453-78279,4/3/1999,4/14/1999,11,9/10/2002,4/18/1999
An-C,1513-50153,M,Y,NWES991,-RZW,1453-78349,-LZG,1453-78279,4/3/1999,4/14/1999,11,9/10/2002,4/18/1999
-LRC,1513-50782,F,Y,NMIT003,-YZY,1453-78372,Z-GP,1453-63559,5/25/2000,6/5/2000,11,9/11/2000,6/14/2000
-FRC,1513-50783,F,Y,NMIT003,-YZY,1453-78372,Z-GP,1453-63559,5/25/2000,6/5/2000,11,9/11/2000,6/14/2000
-AnC,1513-50784,M,Y,NMIT003,-YZY,1453-78372,Z-GP,1453-63559,5/25/2000,6/5/2000,11,9/11/2000,6/14/2000
ZYP-,1043-44264,,Y,RUSS971,FZB-,1453-78400,-OBZ,1453-38998,4/10/1997,4/21/1997,11,8/10/1997,4/29/1997
ZBP-,1043-44265,,Y,RUSS971,FZB-,1453-78400,-OBZ,1453-38998,4/10/1997,4/21/1997,11,8/10/1997,4/29/1997
ZPP-,1043-44266,,Y,RUSS971,FZB-,1453-78400,-OBZ,1453-38998,4/10/1997,4/21/1997,11,8/10/1997,4/29/1997
ZOn-,1043-44267,,Y,RUSS971,FZB-,1453-78400,-OBZ,1453-38998,4/10/1997,4/21/1997,11,8/10/1997,4/29/1997
-WZG,1453-78381,,Y,DEER963,SP-F,1453-78402,-SRF,1043-80144,5/17/1996,5/28/1996,11,10/11/1997,6/5/1996
-RZn,1453-78382,,Y,DEER963,SP-F,1453-78402,-SRF,1043-80144,5/17/1996,5/28/1996,11,10/11/1997,6/5/1996
-GZn,1453-78383,,Y,DEER963,SP-F,1453-78402,-SRF,1043-80144,5/17/1996,5/28/1996,11,10/11/1997,6/5/1996
ZFn-,1043-44292,,Y,DEER972,SP-F,1453-78402,FZY-,1453-78136,4/20/1997,5/1/1997,11,10/11/1997,5/9/1997
ZAG-,1043-44293,F,Y,DEER972,SP-F,1453-78402,FZY-,1453-78136,4/20/1997,5/1/1997,11,10/11/1997,5/9/1997
Z-Wn,1453-63557,,Y,DEER933,SP-F,1453-78402,-SRF,1043-80144,4/18/1993,4/29/1993,11,10/11/1997,5/8/1993
Z-RP,1453-63558,F,Y,DEER933,SP-F,1453-78402,-SRF,1043-80144,4/18/1993,4/29/1993,11,10/11/1997,5/8/1993
